dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
1,0,False,0,50,heap,adjList,0.010013580322265625
1,0,False,0,50,heap,adjMatrix,0.007152557373046875
1,0,False,0,50,array,adjList,0.00476837158203125
1,0,False,0,50,array,adjMatrix,0.0040531158447265625
2,1,False,0,50,heap,adjList,0.025033950805664062
2,1,False,0,50,heap,adjMatrix,0.03790855407714844
2,1,False,0,50,array,adjList,0.010013580322265625
2,1,False,0,50,array,adjMatrix,0.007152557373046875
3,3,False,0,50,heap,adjList,0.023126602172851562
3,3,False,0,50,heap,adjMatrix,0.022172927856445312
3,3,False,0,50,array,adjList,0.012159347534179688
3,3,False,0,50,array,adjMatrix,0.09918212890625
4,6,False,0,50,heap,adjList,0.064849853515625
4,6,False,0,50,heap,adjMatrix,0.07176399230957031
4,6,False,0,50,array,adjList,0.024080276489257812
4,6,False,0,50,array,adjMatrix,0.07033348083496094
5,10,False,0,50,heap,adjList,0.20503997802734375
5,10,False,0,50,heap,adjMatrix,0.2090930938720703
5,10,False,0,50,array,adjList,0.03409385681152344
5,10,False,0,50,array,adjMatrix,0.11706352233886719
6,15,False,0,50,heap,adjList,0.4417896270751953
6,15,False,0,50,heap,adjMatrix,0.5600452423095703
6,15,False,0,50,array,adjList,0.06079673767089844
6,15,False,0,50,array,adjMatrix,0.1780986785888672
7,21,False,0,50,heap,adjList,0.9448528289794922
7,21,False,0,50,heap,adjMatrix,1.7709732055664062
7,21,False,0,50,array,adjList,0.2429485321044922
7,21,False,0,50,array,adjMatrix,0.09989738464355469
8,26,False,0,50,heap,adjList,2.2687911987304688
8,26,False,0,50,heap,adjMatrix,1.664876937866211
8,26,False,0,50,array,adjList,0.12540817260742188
8,26,False,0,50,array,adjMatrix,0.12993812561035156
9,35,False,0,50,heap,adjList,3.0710697174072266
9,35,False,0,50,heap,adjMatrix,3.408193588256836
9,35,False,0,50,array,adjList,0.18715858459472656
9,35,False,0,50,array,adjMatrix,0.4267692565917969
10,43,False,0,50,heap,adjList,4.548072814941406
10,43,False,0,50,heap,adjMatrix,4.395961761474609
10,43,False,0,50,array,adjList,0.5869865417480469
10,43,False,0,50,array,adjMatrix,0.3521442413330078
11,53,False,0,50,heap,adjList,8.90493392944336
11,53,False,0,50,heap,adjMatrix,8.805036544799805
11,53,False,0,50,array,adjList,0.3750324249267578
11,53,False,0,50,array,adjMatrix,0.4050731658935547
12,65,False,0,50,heap,adjList,12.981176376342773
12,65,False,0,50,heap,adjMatrix,14.384031295776367
12,65,False,0,50,array,adjList,0.5829334259033203
12,65,False,0,50,array,adjMatrix,0.5578994750976562
13,76,False,0,50,heap,adjList,17.248153686523438
13,76,False,0,50,heap,adjMatrix,17.27008819580078
13,76,False,0,50,array,adjList,0.6809234619140625
13,76,False,0,50,array,adjMatrix,0.7030963897705078
14,91,False,0,50,heap,adjList,29.61421012878418
14,91,False,0,50,heap,adjMatrix,26.089906692504883
14,91,False,0,50,array,adjList,0.9489059448242188
14,91,False,0,50,array,adjMatrix,1.0030269622802734
15,103,False,0,50,heap,adjList,34.98983383178711
15,103,False,0,50,heap,adjMatrix,35.610198974609375
15,103,False,0,50,array,adjList,1.2989044189453125
15,103,False,0,50,array,adjMatrix,1.2619495391845703
16,115,False,0,50,heap,adjList,44.69585418701172
16,115,False,0,50,heap,adjMatrix,44.90017890930176
16,115,False,0,50,array,adjList,1.5254020690917969
16,115,False,0,50,array,adjMatrix,1.577138900756836
17,129,False,0,50,heap,adjList,57.64889717102051
17,129,False,0,50,heap,adjMatrix,57.42192268371582
17,129,False,0,50,array,adjList,1.8801689147949219
17,129,False,0,50,array,adjMatrix,1.905202865600586
18,151,False,0,50,heap,adjList,77.39400863647461
18,151,False,0,50,heap,adjMatrix,77.0258903503418
18,151,False,0,50,array,adjList,2.471923828125
18,151,False,0,50,array,adjMatrix,2.588033676147461
19,168,False,0,50,heap,adjList,97.17607498168945
19,168,False,0,50,heap,adjMatrix,94.83003616333008
19,168,False,0,50,array,adjList,3.1468868255615234
19,168,False,0,50,array,adjMatrix,3.108978271484375
20,184,False,0,50,heap,adjList,120.39709091186523
20,184,False,0,50,heap,adjMatrix,119.7969913482666
20,184,False,0,50,array,adjList,3.7310123443603516
20,184,False,0,50,array,adjMatrix,3.701925277709961
21,207,False,0,50,heap,adjList,154.84118461608887
21,207,False,0,50,heap,adjMatrix,155.66778182983398
21,207,False,0,50,array,adjList,4.745960235595703
21,207,False,0,50,array,adjMatrix,4.818916320800781
22,228,False,0,50,heap,adjList,184.54980850219727
22,228,False,0,50,heap,adjMatrix,182.5108528137207
22,228,False,0,50,array,adjList,5.686044692993164
22,228,False,0,50,array,adjMatrix,5.65028190612793
23,249,False,0,50,heap,adjList,220.98898887634277
23,249,False,0,50,heap,adjMatrix,221.01879119873047
23,249,False,0,50,array,adjList,6.76727294921875
23,249,False,0,50,array,adjMatrix,6.849765777587891
24,268,False,0,50,heap,adjList,252.457857131958
24,268,False,0,50,heap,adjMatrix,253.8759708404541
24,268,False,0,50,array,adjList,7.631063461303711
24,268,False,0,50,array,adjMatrix,7.772207260131836
25,294,False,0,50,heap,adjList,305.3877353668213
25,294,False,0,50,heap,adjMatrix,305.82714080810547
25,294,False,0,50,array,adjList,9.557008743286133
25,294,False,0,50,array,adjMatrix,9.602069854736328
26,320,False,0,50,heap,adjList,378.9498805999756
26,320,False,0,50,heap,adjMatrix,372.0681667327881
26,320,False,0,50,array,adjList,11.012077331542969
26,320,False,0,50,array,adjMatrix,11.374711990356445
27,347,False,0,50,heap,adjList,447.33691215515137
27,347,False,0,50,heap,adjMatrix,450.55603981018066
27,347,False,0,50,array,adjList,13.55123519897461
27,347,False,0,50,array,adjMatrix,13.458013534545898
28,371,False,0,50,heap,adjList,508.2669258117676
28,371,False,0,50,heap,adjMatrix,508.15415382385254
28,371,False,0,50,array,adjList,14.735937118530273
28,371,False,0,50,array,adjMatrix,15.053749084472656
29,394,False,0,50,heap,adjList,582.9277038574219
29,394,False,0,50,heap,adjMatrix,593.4967994689941
29,394,False,0,50,array,adjList,17.41790771484375
29,394,False,0,50,array,adjMatrix,17.599105834960938
30,427,False,0,50,heap,adjList,687.3579025268555
30,427,False,0,50,heap,adjMatrix,684.863805770874
30,427,False,0,50,array,adjList,20.589113235473633
30,427,False,0,50,array,adjMatrix,20.740032196044922
31,455,False,0,50,heap,adjList,778.4931659698486
31,455,False,0,50,heap,adjMatrix,783.2071781158447
31,455,False,0,50,array,adjList,23.51093292236328
31,455,False,0,50,array,adjMatrix,23.684024810791016
32,487,False,0,50,heap,adjList,886.7099285125732
32,487,False,0,50,heap,adjMatrix,888.8390064239502
32,487,False,0,50,array,adjList,26.74698829650879
32,487,False,0,50,array,adjMatrix,27.133941650390625
33,519,False,0,50,heap,adjList,1022.6919651031494
33,519,False,0,50,heap,adjMatrix,1027.0919799804688
33,519,False,0,50,array,adjList,30.732154846191406
33,519,False,0,50,array,adjMatrix,30.955076217651367
34,546,False,0,50,heap,adjList,1128.058671951294
34,546,False,0,50,heap,adjMatrix,1127.812147140503
34,546,False,0,50,array,adjList,36.47899627685547
34,546,False,0,50,array,adjMatrix,34.40093994140625
35,578,False,0,50,heap,adjList,1253.3812522888184
35,578,False,0,50,heap,adjMatrix,1265.3141021728516
35,578,False,0,50,array,adjList,38.39898109436035
35,578,False,0,50,array,adjMatrix,38.75613212585449